id,area,invocation,user_story,expected_behaviour,phase1_status,phase1_notes,phase2_result,phase2_notes,phase3_fix,phase4_result
CD-22,cognitive-demo,cognitive-demo doc-scenarios,"As an operator, I want to list document-flow input scenarios so I know which inputs are tested.",Prints the document-flow input-scenario set (1 valid + invalid inputs).,Inventoried,,PASS,rc=0; cognitive-demo — document-flow input scenarios (each proves an input-integrity property):,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-23,cognitive-demo,cognitive-demo doc-scenario-pack --out DIR,"As an operator, I want a pack of document-input outcomes so I can audit valid/invalid handling.","Runs every doc scenario (1 valid + 8 invalid REFUSED), writes observed-outcome record + report.",Inventoried,,PASS,rc=0; doc-scenario-pack: wrote 2 files to docscn (1 valid + 8 invalid inputs; every invalid input REFUSED),E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-24,cognitive-demo,cognitive-demo doc-scenario-verify --path DIR,"As an operator, I want to verify the doc-scenario pack so I can detect tamper.","Re-derives the doc-scenario pack (re-runs scenarios), byte-compares; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; doc-scenario-verify: OK — the document-scenario pack re-derives byte-identically; every input outcome stands,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-25,cognitive-demo,cognitive-demo doc-scenario-matrix --path DIR [--out PATH],"As an operator, I want a doc input-integrity matrix so I can see all input outcomes hold.","Verifies pack, then emits doc input-integrity matrix (re-derived from scenario set).",Inventoried,,PASS,rc=0;,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-26,cognitive-demo,cognitive-demo corpus-trace --input-dir DIR [--out PATH],"As an operator, I want to trace a local .txt corpus so I can run the pipeline over many documents.","Enumerates/filters/sorts non-hidden .txt (path-confined), verifies corpus first span, builds trace hash-bound to all docs; fails closed on empty corpus.",Inventoried,,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-27,cognitive-demo,cognitive-demo corpus-report --input-dir DIR --trace PATH [--out PATH],"As an operator, I want a corpus report with source selection so I can see which doc/span grounded the answer.","Re-derives trace from same corpus, byte-compares, renders report + SOURCE SELECTION; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; COGNITIVE OS — END-TO-END TRACE REPORT,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-28,cognitive-demo,cognitive-demo corpus-bundle --input-dir DIR --out DIR,"As an operator, I want a repro bundle over my corpus so I can share it verifiably.",Writes 5-file bundle (corpus-source.json + 4) derived from the corpus's verified trace.,Inventoried,,PASS,rc=0; corpus-bundle: wrote 5 files to corppack,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-29,cognitive-demo,cognitive-demo corpus-bundle-verify --input-dir DIR --path DIR,"As an operator, I want to verify my corpus bundle so I can detect tamper of any document or file.","Re-derives bundle from same corpus, byte-compares; refuses tampered doc (grounding OR side) or file (exit 1).",Inventoried,,PASS,rc=0; corpus-bundle-verify: OK — every bundle file re-derives byte-identically from the operator corpus,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-30,cognitive-demo,cognitive-demo corpus-scenarios,"As an operator, I want to list corpus-flow input scenarios so I know which inputs are tested.",Prints the corpus-flow input-scenario set (1 valid + invalid inputs).,Inventoried,,PASS,rc=0; cognitive-demo — corpus-flow input scenarios (each proves an input-integrity property):,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-31,cognitive-demo,cognitive-demo corpus-scenario-pack --out DIR,"As an operator, I want a pack of corpus-input outcomes so I can audit valid/invalid handling.","Runs every corpus scenario (1 valid + 12 invalid REFUSED), writes observed-outcome record + report.",Inventoried,,PASS,rc=0; corpus-scenario-pack: wrote 2 files to corpscn (1 valid + 12 invalid inputs; every invalid input REFUSED),E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-32,cognitive-demo,cognitive-demo corpus-scenario-verify --path DIR,"As an operator, I want to verify the corpus-scenario pack so I can detect tamper.","Re-derives the corpus-scenario pack (re-runs scenarios), byte-compares; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; corpus-scenario-verify: OK — the corpus-scenario pack re-derives byte-identically; every input outcome stands,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-33,cognitive-demo,cognitive-demo corpus-scenario-matrix --path DIR [--out PATH],"As an operator, I want a corpus input-integrity matrix so I can see all input outcomes hold.","Verifies pack, then emits corpus input-integrity matrix incl. source identity + whole_corpus_bound fact.",Inventoried,,PASS,rc=0;,E3 FIX: added to the OPERATOR_MANUAL.md command-surface listing (command existed in the binary but was undocumented).,PASS — command now documented; operator_smoke manual-drift guard green; behaviour unchanged
CD-34,cognitive-demo,cognitive-demo novelty-packet --input-dir DIR --corpus-trace PATH --frame PATH [--out PATH],"As an operator, I want a hypothesis-only novelty packet so I can propose assumption-breaks bound to verified receipts.","Re-derives corpus trace, verifies --corpus-trace, emits NoveltyPacket (authority hypothesis_only; preserved facts=verified spans; probes execute:false); refuses unsupported fact/empty frame/stripped trace.",Inventoried,,PASS,rc=0;,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-35,cognitive-demo,cognitive-demo novelty-report --input-dir DIR --frame PATH --packet PATH [--out PATH],"As an operator, I want a readable novelty report so I can review the proposal.","Re-derives packet from same corpus+frame, byte-compares --packet, renders proposal report; refuses tamper (exit 1).",Inventoried,,PASS,"rc=0; NOVELTY PACKET (PROPOSAL ONLY — hypothesis_only, not truth)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-36,cognitive-demo,cognitive-demo novelty-replay --input-dir DIR --frame PATH --packet PATH,"As an operator, I want to confirm a novelty packet replays byte-identically so I trust its determinism.","Re-derives packet, requires byte-identical; prints OK summary; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; novelty-replay: OK — the packet re-derives byte-identically from the corpus and frame (deterministic). It proposes; it does not prove.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-37,cognitive-demo,cognitive-demo dream-export --input-dir DIR --frame PATH [--seed N] [--weirdness W] [--dream-packet PATH] [--out PATH],"As an operator, I want to bridge a dream packet into the hypothesis-only path so dream-origin material stays auditable but un-authoritative.","Re-derives terminal DreamPacket (default seed=42,weirdness=2), bridges via existing propose(); emits DreamExportReceipt+HypothesisPacket (hypothesis_only); refuses tampered --dream-packet; weirdness bounded 0..=5.",Inventoried,,PASS,"rc=0; || PROBE-weirdness-oob: rc=1 cognitive-demo: dream export refused: weirdness 99 is outside 0..=5 || PROBE-weirdness-nan: rc=1 cognitive-demo: --weirdness must be an integer, got 'abc'",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-38,cognitive-demo,cognitive-demo dream-export-report --input-dir DIR --frame PATH [--seed N] [--weirdness W] --export PATH [--out PATH],"As an operator, I want a provenance report for a dream export so I can audit dream origin.","Re-derives export bundle from same corpus+frame+dials, byte-compares --export, renders provenance report; refuses tamper (exit 1).",Inventoried,,PASS,"rc=0; DREAM EXPORT (PROVENANCE BRIDGE — hypothesis_only, dream_origin)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
CD-39,cognitive-demo,cognitive-demo dream-export-replay --input-dir DIR --frame PATH [--seed N] [--weirdness W] --export PATH,"As an operator, I want to confirm a dream export replays byte-identically so I trust its determinism.","Re-derives export bundle, requires byte-identical; prints OK summary; refuses tamper (exit 1).",Inventoried,,PASS,rc=0; dream-export-replay: OK — the export bundle re-derives byte-identically from the corpus and frame (deterministic). Dream origin is preserved; the exported mat,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-01,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question what-read,"As an operator, I want to ask 'what-read' so I learn what the reading stage read and verified.",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; READING — verifies,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-02,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question what-was-proven,"As an operator, I want to ask 'what-was-proven' so I learn what was actually proven (only the reading receipt).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; PROVEN — exactly one thing: the reading receipt passed verification.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-03,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question what-was-hypothesized,"As an operator, I want to ask 'what-was-hypothesized' so I learn what was hypothesized (a proposal, not a claim).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,"rc=0; HYPOTHESIS — proposes (a proposal, NOT a claim and NOT proof)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-04,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question what-probe-was-requested,"As an operator, I want to ask 'what-probe-was-requested' so I learn what probe was requested (a queued record).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,"rc=0; PROBE REQUEST — classifies (a queued record, NOT an execution and NOT evidence)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-05,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question was-anything-executed,"As an operator, I want to ask 'was-anything-executed' so I learn whether anything executed (no).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; WAS ANYTHING EXECUTED?  No.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-06,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question did-anything-become-evidence,"As an operator, I want to ask 'did-anything-become-evidence' so I learn whether anything became evidence (no).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; DID ANYTHING BECOME EVIDENCE?  No.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-07,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question why-was-promotion-refused,"As an operator, I want to ask 'why-was-promotion-refused' so I learn why the promotion was refused.",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; WHY WAS PROMOTION REFUSED?,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
ASK-08,cognitive-demo:ask,cognitive-demo ask --trace trace.json --question did-training-open,"As an operator, I want to ask 'did-training-open' so I learn whether training opened (no).",Prose answer formatted from the trace's recorded fields (never a new verdict); trace re-derived/verified first.,Inventoried,,PASS,rc=0; DID TRAINING OPEN?  No.,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
RD-01,read0,read0 run <docs_dir> <question> <plan.json> <out.json>,"As an operator, I want to run a real-corpus reading so I get a verified reading receipt.","Runs reader over docs_dir with question+plan, writes out.json, prints 'verified: <answer>'.",Inventoried,,PASS,rc=0; verified: Bridge B stayed open. || PROBE-read0-noargs: rc=1 usage:,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
RD-02,read0,read0 verify <out.json>,"As an operator, I want to verify a reading receipt so I can trust its integrity.",Prints passed/grounded/answer_supported/replay_matches/integrity; warns on legacy/downgraded integrity token.,Inventoried,,PASS,rc=0; verify: passed=true grounded=true answer_supported=true replay_matches=true integrity=structure_bound,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
RD-03,read0,read0 replay <out.json>,"As an operator, I want to replay a reading so I can confirm it reproduces.",Re-derives the run; prints 'replay: MATCH' or fails (exit 1).,Inventoried,,PASS,rc=0; replay: MATCH,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
VB-01,vibe,vibe run <scenario.json> [out.json],"As an operator, I want to record a deterministic run so I have a replayable artifact.","Runs scenario; prints recorded JSON (or writes out.json with tick count, final vibe, run_hash).",Inventoried,,PASS,"rc=0; recorded 3 ticks (final vibe 0, run_hash ea52159e5450b858) -> /tmp/tmp.BDvP6vnPrH/run.json || PROBE-vibe-noargs: rc=1 error: usage: vibe <run <scenario.json> [out.json] | replay <run.json> | verify <run.json>>",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
VB-02,vibe,vibe replay <recorded_run.json>,"As an operator, I want to replay a recorded run so I can confirm the hash matches.",Re-derives run; prints recomputed vs recorded run_hash + MATCH/MISMATCH.,Inventoried,,PASS,rc=0; replay 3 ticks: run_hash ea52159e5450b858 (recorded ea52159e5450b858) -> MATCH,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
VB-03,vibe,vibe verify <recorded_run.json>,"As an operator, I want to verify a recorded run is authentic so I can trust it.","Prints 'verify: OK (authentic, reproducible)' or errors 'verify: FAILED' (exit 1) on tamper.",Inventoried,,PASS,"rc=0; verify: OK (authentic, reproducible)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-01,example,cargo run -p reading-corpus-eval --example pack_report,"As an operator, I want the read0 reader scored against the real-corpus fixture pack so I confirm grounded answers verify and no unsafe answer slips through.","Builds READ-4 fixtures in a temp workdir, runs read/verify/replay per fixture, prints correct/total + false-grounded/false-reject counts; exits non-zero if <10 fixtures or any false-grounded.",Inventoried,"Writes fixtures under a temp dir, self-cleans via Drop.",PASS,"rc=0; read0 corpus pack: 15/15 correct over 15 fixtures  (0 false-grounded, 0 false-rejects)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-02,example,cargo run -p cognitive-demo --example cognitive_trace_demo,"As an auditor, I want the full deterministic cognitive pipeline emitted as one JSON trace so I can replay-diff and verify safety verdicts.","Builds CognitiveTrace::demo(), prints byte-deterministic auditable JSON; exits 1 if pipeline cannot produce a faithful trace.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-03,example,cargo run -p hypothesis-layer --example hypothesis_report,"As a developer, I want a fixed hypothesis proposed from cited evidence printed as JSON so I verify deterministic trace-replay scoring at HYP-0.","Proposes one fixed HypothesisSpec via propose(), prints packet as pretty JSON (byte-identical); exits FAILURE on propose/serialize error.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-04,example,cargo run -p hypothesis-layer --example probe_queue_report,"As an operator, I want hypotheses classified into a probe queue so I see which probes are execution-eligible without anything running.","Derives ProbeQueue from four fixed hypotheses, prints total + execution_eligible count + queue JSON; executes no probe; exits 0.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-05,example,cargo run -p hypothesis-layer --example review_log_report,"As a governance reviewer, I want review decisions on fixed probes logged as JSON so I confirm blocked/automated approvals are refused.","Records ReviewReceipts over four probes, prints total/approved + policy assertions (blocked-approve and automated-review refused) as JSON; exits 0.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-06,example,cargo run -p hypothesis-layer --example execution_intent_report,"As an operator, I want execution intents recorded from reviews so I confirm approvals only record (never execute) and rejections stay blocked.","Records ProbeExecutionIntents from four reviews, prints total/cleared + policy assertions (approved records not_executed) as JSON; exits 0.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-07,example,cargo run -p hypothesis-layer --example observation_receipt_report,"As an operator, I want probe observations quarantined so I confirm nothing is recorded as evidence at HYP-4.","Records ProbeObservationReceipts from three intents, prints total/recorded + quarantine assertions (none recorded) as JSON; exits 0.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-08,example,cargo run -p hypothesis-layer --example promotion_request_report,"As an operator, I want promotion requests printed so I confirm nothing becomes evidence at HYP-5.","Records PromotionRequests over three targets, prints total/promoted + assertions (no promotion granted) as JSON; exits 0.",Inventoried,,PASS,rc=0; {,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-09,example,cargo run -p reading-adapter --example baseline_report,"As a developer, I want the baseline model's failure profile measured against the hardened codec so I confirm the safety boundary holds.","Runs baseline_report, prints finalized/total, accepted-partial/rejected, failure histogram, per-entry outcomes; exits 1 if verbatim-grounded fails to finalize or fabricated claim not rejected.",Inventoried,,PASS,"rc=0; baseline profile: 1 finalized / 7 total  (1 accepted-partial, 5 rejected)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-10,example,cargo run -p reading-codec --example eval_report,"As a developer, I want the codec eval battery under strict policy so I gate that every fixture's decision matches its required decision.","Runs evaluate(CodecPolicy::strict()), prints passed/total/failed + per-fixture PASS/FAIL; exits 1 if any fixture diverges.",Inventoried,,PASS,"rc=0; codec eval (strict): 11/11 passed, 0 failed",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-11,example,cargo run -p reading-eval --example eval_report,"As a developer, I want the codec eval scored with false-accept/reject lists and a recommended next change so I gate training readiness.","Runs run(), prints correct/total, false-accepts/rejects, per-category tallies, next_change; exits 1 if <30 fixtures or any false-accept.",Inventoried,,PASS,"rc=0; codec eval: 37/37 correct over 37 fixtures  (0 false-accepts, 0 false-rejects)",none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-12,example,cargo run -p reading-train-gate --example decision_report,"As an operator, I want the training-justification decision printed so I see whether training is justified and why it is blocked.","Runs decide_from_eval(), prints training_justified, safety_fix_required, reason, cited failures/blockers; currently blocked 'no' exits 0; exits 1 if claims justified without clean failures.",Inventoried,,PASS,rc=0; training_justified: false,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-13,example,cargo run -p reading-autonomy --example autonomous_read,"As a developer, I want the bounded autonomous reader run over the canonical corpus so I confirm its grounded plan finalizes a verifier-approved answer.","Runs read() with default ReaderBounds, prints question, bounds, used steps/spans/attempts, decision; exits 1 if no verified answer finalized.",Inventoried,,PASS,rc=0; question: Which bridge is safe to cross after the storm?,none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-14,example,cargo run -p reading-autonomous-eval --example autonomous_pack_report,"As a developer, I want the autonomous reader compared to hand-plans so I confirm it verifies answers with zero false-grounded.","Runs evaluate_autonomous_pack() over READ-4 fixtures, prints manual-vs-autonomous aggregates + per-fixture tags; exits FAILURE if any false-grounded.",Inventoried,,PASS,rc=0; autonomous pack over 15 READ-4 fixtures (bounds: max_steps=64 max_spans=8 max_finalize_attempts=1),none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-15,example,cargo run -p reading-budgeted-eval --example budgeted_pack_report,"As a developer, I want the budgeted selective reader compared to the blunt reader so I confirm it focuses claims without false-grounded answers.","Runs evaluate_budgeted_pack(), prints blunt-vs-budgeted claim counts, focus/answered/coverage tallies, per-fixture outcomes; exits FAILURE if any budgeted answer false-grounded.",Inventoried,,PASS,rc=0; budgeted pack over 15 READ-4 fixtures (bounds: max_steps=64 max_spans=8 max_finalize_attempts=1),none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
EX-16,example,cargo run -p reading-ranked-eval --example ranked_pack_report,"As a developer, I want the title-ranked reader checked for no-regression vs budgeted plus a title-priority win so I confirm ranking only reorders safely.","Runs evaluate_ranked_pack()+title_priority_demo(), prints answered/coverage/regression/false-grounded counts + demo result; exits FAILURE on any false-grounded/regression/missing win.",Inventoried,,PASS,rc=0; ranked pack over 15 READ-4 fixtures (bounds: max_steps=64 max_spans=8 max_finalize_attempts=1),none required (passed clean in Phase 2),PASS (re-confirmed post-fix)
